id,mesto_na_lestvici,izvajalec,naslov,tednov_na_lestvici,najvišje_mesto,tednov,povp_mesto,feat
83,84,Lil Baby,My Dawg,7,71,5,88.4,False
84,85,Famous Dex Featuring A$AP Rocky,Pick It Up,20,54,14,66.42857142857142,True
85,86,Old Dominion,Written In The Sand,20,51,15,70.06666666666666,False
86,87,Huncho Jack,Huncho Jack,1,87,1,87,False
87,88,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,6,75,4,86.75,True
88,89,Scotty McCreery,Five More Minutes,20,44,17,67.82352941176471,False
89,90,Huncho Jack,Motorcycle Patches,1,90,1,90,False
90,91,Becky G Featuring Bad Bunny,Mayores,18,74,9,92.88888888888889,True
91,92,Huncho Jack,Saint,1,92,1,92,False
92,93,Eminem Featuring Beyonce,Walk On Water,5,14,1,93,True
93,94,Migos,Stir Fry,21,8,21,33.809523809523796,False
94,95,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,5,90,3,97.0,True
95,96,XXXTENTACION Featuring Trippie Redd,F**k Love,21,28,4,64.0,True
96,97,Kelsea Ballerini,Legends,12,68,9,82.77777777777777,False
97,98,Niall Horan,Too Much To Ask,12,66,3,92.33333333333333,False
98,99,Zayn Featuring Sia,Dusk Till Dawn,17,44,2,96.5,True
99,100,Yo Gotti,Juice,6,90,3,96.66666666666667,False
100,35,Bruno Mars & Cardi B,Finesse,23,3,23,15.26086956521739,True
101,71,Camila Cabello,Never Be The Same,37,6,35,26.685714285714287,False
102,80,WALK THE MOON,One Foot,8,65,8,80.0,False
103,82,Kane Brown,Heaven,27,15,26,40.84615384615385,False
104,83,Keala Settle & The Greatest Showman Ensemble,This Is Me,14,58,14,76.57142857142857,True
105,85,Zac Efron & Zendaya,Rewrite The Stars,7,70,7,82.28571428571429,True
106,87,Devin Dawson,All On Me,20,52,15,74.2,False
107,88,Loren Allred,Never Enough,4,88,4,95.0,False
108,91,Chris Stapleton,Broken Halos,20,45,15,66.53333333333332,False
109,92,Maluma X Nego do Borel,Corazon,9,87,9,93.55555555555556,False
110,93,Keith Urban,Female,6,69,5,97.6,False
111,95,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,4,88,4,91.75,True
112,96,Tank,When We,20,78,15,89.33333333333333,False
113,97,NAV Featuring Lil Uzi Vert,Wanted You,7,64,1,97,True
114,100,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Best Friend,5,81,5,90.6,True
115,9,Justin Timberlake,Filthy,6,9,6,41.0,False
116,43,Kendrick Lamar & SZA,All The Stars,21,7,21,29.61904761904762,True
117,82,Liam Payne & Rita Ora,For You (Fifty Shades Freed),3,76,3,83.33333333333333,True
118,85,Lil Skies Featuring Landon Cube,Nowadays,13,55,13,70.0,True
119,92,Clean Bandit Featuring Julia Michaels,I Miss You,1,92,1,92,True
120,95,P!nk,Beautiful Trauma,15,78,13,88.61538461538461,False
121,98,Lil Skies Featuring Landon Cube,Red Roses,20,69,20,83.2,True
122,47,Carrie Underwood Featuring Ludacris,The Champion,3,47,3,57.666666666666664,True
123,64,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,8,43,8,68.625,True
124,71,YoungBoy Never Broke Again,Outside Today,19,31,19,53.578947368421055,False
125,80,Troye Sivan,My My My!,1,80,1,80,False
126,84,Dan + Shay,Tequila,38,21,38,44.81578947368422,False
127,91,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,20,21,20,51.7,True
128,92,Dua Lipa,IDGAF,23,49,23,69.08695652173913,False
129,98,Enrique Iglesias Featuring Bad Bunny,El Bano,1,98,1,98,True
130,1,Drake,God's Plan,36,1,36,10.250000000000002,False
131,7,Drake,Diplomatic Immunity,3,7,3,48.333333333333336,False
132,56,Bazzi,Mine,34,11,34,23.529411764705884,False
133,65,The Chainsmokers,Sick Boy,3,65,3,84.0,False
134,71,Justin Timberlake,Supplies,2,71,2,85.5,False
135,82,NF,No Name,1,82,1,82,False
136,88,Maroon 5,Wait,24,24,23,38.34782608695652,False
137,99,Plies,Rock,5,95,5,97.6,False
138,9,Justin Timberlake Featuring Chris Stapleton,Say Something,16,9,16,43.125,True
139,18,Migos Featuring Drake,Walk It Talk It,22,10,22,26.954545454545453,True
140,23,"Zedd, Maren Morris & Grey",The Middle,40,5,40,18.475,True
141,28,Jason Aldean,You Make It Easy,20,28,20,40.25,False
142,36,Migos,Narcos,15,36,15,78.46666666666667,False
143,48,Migos Featuring 21 Savage,BBO (Bad Bitches Only),2,48,2,68.5,True
144,52,Migos Featuring Post Malone,Notice Me,5,52,5,75.6,True
145,53,Migos,Supastars,1,53,1,53,False
146,64,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",White Sand,1,64,1,64,True
147,73,Migos,Gang Gang,1,73,1,73,False
148,75,Rich The Kid Featuring Kendrick Lamar,New Freezer,19,41,19,59.21052631578947,True
149,83,Migos,Higher We Go (Intro),1,83,1,83,False
150,85,Migos,Auto Pilot,1,85,1,85,False
151,87,Migos,Emoji A Chain,1,87,1,87,False
152,92,Ozuna & Romeo Santos,El Farsante,20,49,20,76.35,True
153,94,Luke Bryan,Most People Are Good,18,43,18,66.11111111111111,False
154,96,Migos Featuring Gucci Mane,CC,1,96,1,96,True
155,7,The Weeknd & Kendrick Lamar,Pray For Me,20,7,20,21.25,True
156,73,Justin Timberlake,Man Of The Woods,1,73,1,73,False
157,81,Daddy Yankee,Dura,21,43,21,58.80952380952381,False
158,87,Imagine Dragons,Whatever It Takes,27,12,26,31.500000000000004,False
159,90,Derez De'Shon,Hardaway,11,61,11,76.0,False
160,92,Jacquees X Dej Loaf,At The Club,7,86,7,90.28571428571429,False
161,93,Brett Eldredge,The Long Way,12,65,12,76.99999999999999,False
162,94,Jordan Davis,Singles You Up,19,50,19,72.57894736842105,False
163,95,Natti Natasha x Ozuna,Criminal,3,95,2,96.5,False
164,98,Easton Corbin,A Girl Like You,1,98,1,98,False
165,6,BlocBoy JB Featuring Drake,Look Alive,25,5,25,16.12,True
166,49,"ScHoolboy Q, 2 Chainz & Saudi",X,5,49,5,70.0,True
167,62,Rich The Kid,Plug Walk,20,13,20,30.5,False
168,63,Khalid & Swae Lee,The Ways,3,63,3,73.66666666666667,True
169,67,SOB X RBE,Paramedic!,4,65,4,75.0,False
170,71,Kendrick Lamar & Travis Scott,Big Shot,2,71,2,77.0,True
171,72,Marshmello & Anne-Marie,Friends,29,11,29,28.96551724137931,True
172,91,Kendrick Lamar,Black Panther,1,91,1,91,False
173,96,Lauv,I Like Me Better,41,27,41,53.46341463414634,False
174,43,Khalid & Normani,Love Lies,44,9,44,31.386363636363637,True
175,93,Daniel Caesar Featuring Kali Uchis,Get You,6,93,6,96.0,True
176,2,Post Malone Featuring Ty Dolla $ign,Psycho,39,1,39,16.564102564102566,True
177,22,Logic,44 More,5,22,5,57.6,False
178,60,6ix9ine,Billy,8,50,8,62.5,False
179,61,5 Seconds Of Summer,Want You Back,1,61,1,61,False
180,73,6ix9ine Featuring Tory Lanez & Young Thug,RONDO,1,73,1,73,True
181,81,Blac Youngsta,Booty,5,73,5,85.0,False
182,82,Trippie Redd Featuring Travis Scott,Dark Knight Dummo,7,72,5,92.8,True
183,96,High Valley,She's With Me,8,79,8,89.625,False
184,98,Cole Swindell,Break Up In The End,17,49,17,74.6470588235294,False
185,99,Janelle Monae,Make Me Feel,1,99,1,99,False
186,17,XXXTENTACION,Sad!,38,1,38,28.894736842105264,False
187,22,"DJ Khaled Featuring JAY Z, Future & B",Top Off,7,22,7,64.71428571428571,True
188,43,Logic & Marshmello,Everyday,13,29,13,67.76923076923077,True
189,46,Meghan Trainor,No Excuses,12,46,12,60.75,False
190,47,XXXTENTACION,Changes,20,18,20,58.25,False
191,76,Rae Sremmurd & Juicy J,Powerglide,17,28,17,52.11764705882353,True
192,80,Nicky Jam x J Balvin,X,21,41,21,55.333333333333336,False
193,91,Joyner Lucas & Chris Brown,Stranger Things,1,91,1,91,True
194,96,Chris Brown,Tempo,4,88,4,92.5,False
195,98,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,16,74,16,88.375,True
196,99,Blake Shelton,I Lived It,18,63,18,81.38888888888889,False
197,100,SZA,Broken Clocks,4,82,4,94.0,False
198,54,Bad Wolves,Zombie,18,54,18,78.77777777777777,False
199,56,Logic Featuring Wiz Khalifa,Indica Badu,1,56,1,56,True
200,60,Logic,Contra,1,60,1,60,False
201,63,Lil Yachty Featuring NBA YoungBoy,NBAYoungboat,4,63,4,78.25,True
202,68,Logic,Overnight,1,68,1,68,False
203,73,Lil Yachty Featuring Trippie Redd,66,1,73,1,73,True
204,74,Logic,Midnight,1,74,1,74,False
205,83,Logic Featuring Big Sean,Wassup,1,83,1,83,True
206,84,Taylor Swift,Delicate,35,12,35,34.57142857142857,False
207,87,Logic,Yuck,1,87,1,87,False
208,88,Lil Yachty Featuring Ugly God,Boom!,1,88,1,88,True
209,97,Logic,BoomTrap Protocol,1,97,1,97,False
210,98,Logic Featuring Young Sinatra,Warm It Up,1,98,1,98,True
211,9,Lil Dicky Featuring Chris Brown,Freaky Friday,20,8,20,33.9,True
212,35,XXXTENTACION,Moonlight,20,13,20,55.95,False
213,49,Lin-Manuel Miranda & Ben Platt,Found / Tonight,1,49,1,49,True
214,67,XXXTENTACION,The Remedy For A Broken Heart (Why Am I So In Love),5,55,5,75.0,False
215,72,Shawn Mendes,In My Blood,23,11,23,29.73913043478261,False
216,82,XXXTENTACION,Numb,3,80,3,81.33333333333333,False
217,83,XXXTENTACION Featuring Joey Bada$$,Infinity (888),1,83,1,83,True
218,84,Luke Combs,One Number Away,20,34,20,55.45,False
219,86,Foster The People,Sit Next To Me,20,42,20,65.6,False
220,95,XXXTENTACION,Going Down!,1,95,1,95,False
221,100,The Chainsmokers,Everybody Hates Me,1,100,1,100,False
222,60,Panic! At The Disco,Say Amen (Saturday Night),3,60,3,69.0,False
223,64,Shawn Mendes X Zedd,Lost In Japan,13,48,13,65.23076923076923,False
224,70,Famous Dex,Japan,15,28,15,55.4,False
225,86,Morgan Wallen Featuring Florida Georgia Line,Up Down,20,49,20,68.55,True
226,95,Darius Rucker,For The First Time,10,58,10,82.7,False
227,100,Alice Merton,No Roots,3,84,3,93.33333333333333,False
228,4,The Weeknd,Call Out My Name,18,4,18,52.44444444444444,False
229,16,Cardi B,Be Careful,20,11,20,31.2,False
230,26,The Weeknd,Try Me,2,26,2,50.0,False
231,27,The Weeknd,Wasted Times,3,27,3,55.333333333333336,False
232,35,The Weeknd Featuring Gesaffelstein,I Was Never There,1,35,1,35,True
233,43,The Weeknd Featuring Gesaffelstein,Hurt You,1,43,1,43,True
234,45,Queen Naija,Medicine,20,45,20,73.4,False
235,52,The Weeknd,Privilege,1,52,1,52,False
236,78,Ella Mai,Boo'd Up,35,5,35,24.65714285714286,False
237,89,"Tyler, The Creator",OKRA,1,89,1,89,True
238,92,Chris Lane Featuring Tori Kelly,Take Back Home Girl,12,55,12,77.33333333333333,True
239,94,Dierks Bentley,"Woman, Amen",12,53,12,80.25,False
240,96,2 Chainz Featuring YG & Offset,Proud,2,96,2,97.5,True
241,100,H.E.R.,Focus,1,100,1,100,False
242,1,Drake,Nice For What,25,1,25,10.0,False
243,8,"Cardi B, Bad Bunny & J Balvin",I Like It,37,1,37,12.567567567567568,True
244,21,Cardi B Featuring Migos,Drip,10,21,10,62.4,True
245,23,Cardi B Featuring SZA,I Do,5,23,5,64.0,True
246,28,Cardi B Featuring Kehlani,Ring,20,28,20,53.3,True
247,38,Cardi B,Get Up 10,2,38,2,57.5,False
248,39,Cardi B Featuring Chance The Rapper,Best Life,3,39,3,68.66666666666667,True
249,43,Cardi B,Bickenhead,2,43,2,55.5,False
250,50,Cardi B,Thru Your Phone,3,50,3,74.66666666666667,False
251,57,Cardi B & YG,She Bad,2,57,2,73.5,True
252,58,Cardi B,Money Bag,2,58,2,72.5,False
253,59,YoungBoy Never Broke Again,Diamond Teeth Samurai,5,59,5,79.6,False
254,62,Calvin Harris & Dua Lipa,One Kiss,21,26,21,41.23809523809524,True
255,65,A$AP Rocky Featuring Moby,A$AP Forever,2,63,2,64.0,True
256,83,Nicki Minaj,Barbie Tingz,4,25,4,67.5,False
257,85,Kenny Chesney,Get Along,21,22,21,53.76190476190476,False
258,92,Nicki Minaj,Chun-Li,16,10,16,51.6875,False
259,100,Halsey Featuring Big Sean & Stefflon Don,Alone,14,66,14,79.92857142857143,True
260,24,Lil Pump,Esskeetit,12,24,12,59.0,False
261,48,Carrie Underwood,Cry Pretty,12,48,12,84.83333333333333,False
262,73,Zayn,Let Me,1,73,1,73,False
263,84,Swae Lee Featuring Slim Jxmmi,Guatemala,1,84,1,84,True
264,89,Young Thug Featuring Nicki Minaj,Anybody,1,89,1,89,True
265,99,6ix9ine,Gotti,1,99,1,99,False
266,3,Ariana Grande,No Tears Left To Cry,27,3,27,17.48148148148148,False
267,6,J. Cole,ATM,5,6,5,51.2,False
268,8,J. Cole,Kevin's Heart,5,8,5,54.6,False
269,10,J. Cole,KOD,12,10,12,57.0,False
270,14,J. Cole,Photograph,2,14,2,47.0,False
